Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note,Anomaly
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1961,1961,100 g/ha,23950.0,A,Official figure,,0.6725
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1961,1961,100 g/ha,28607.0,A,Official figure,,0.6725
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1962,1962,100 g/ha,30752.0,A,Official figure,,0.13833333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1962,1962,100 g/ha,33898.0,A,Official figure,,0.13833333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1963,1963,100 g/ha,26624.0,A,Official figure,,-0.6083333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1963,1963,100 g/ha,33934.0,A,Official figure,,-0.6083333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1964,1964,100 g/ha,31534.0,A,Official figure,,-0.12
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1964,1964,100 g/ha,34845.0,A,Official figure,,-0.12
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1965,1965,100 g/ha,32655.0,A,Official figure,,-0.285
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1965,1965,100 g/ha,32321.0,A,Official figure,,-0.285
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1966,1966,100 g/ha,28296.0,A,Official figure,,-0.155
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1966,1966,100 g/ha,32325.0,A,Official figure,,-0.155
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1967,1967,100 g/ha,36365.0,A,Official figure,,0.21083333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1967,1967,100 g/ha,40216.0,A,Official figure,,0.21083333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1968,1968,100 g/ha,36641.0,A,Official figure,,0.11333333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1968,1968,100 g/ha,42162.0,A,Official figure,,0.11333333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1969,1969,100 g/ha,35809.0,A,Official figure,,-0.3541666666666667
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1969,1969,100 g/ha,38877.0,A,Official figure,,-0.3541666666666667
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1970,1970,100 g/ha,34223.0,A,Official figure,,-0.2791666666666667
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1970,1970,100 g/ha,37264.0,A,Official figure,,-0.2791666666666667
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1971,1971,100 g/ha,38614.0,A,Official figure,,0.017499999999999998
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1971,1971,100 g/ha,44229.0,A,Official figure,,0.017499999999999998
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1972,1972,100 g/ha,45698.0,A,Official figure,,-0.020833333333333332
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1972,1972,100 g/ha,40380.0,A,Official figure,,-0.020833333333333332
