Date,Anomaly
195001,0.16
195002,0.15
195003,0.31
195004,0.36
195005,0.38
195006,0.48
195007,0.52
195008,0.58
195009,0.53
195010,0.45
195011,0.38
195012,0.28
195101,0.50
195102,0.48
195103,0.39
195104,0.33
195105,0.21
195106,0.15
195107,0.09
195108,0.13
195109,0.17
195110,0.11
195111,0.15
195112,0.20
195201,0.24
195202,0.21
195203,0.08
195204,0.15
195205,0.17
195206,0.17
195207,0.22
195208,0.21
195209,0.08
195210,0.14
195211,0.00
195212,-0.10
195301,-0.17
195302,-0.25
195303,-0.09
195304,-0.15
195305,-0.09
195306,-0.01
195307,0.01
195308,-0.03
195309,0.03
195310,0.13
195311,0.16
195312,0.22
195401,0.02
195402,-0.21
195403,-0.18
195404,-0.34
195405,-0.34
195406,-0.35
195407,-0.43
195408,-0.44
195409,-0.40
195410,-0.46
195411,-0.39
195412,-0.28
195501,0.00
195502,0.30
195503,0.15
195504,0.17
195505,0.09
195506,-0.02
195507,0.05
195508,0.09
195509,0.10
195510,0.12
195511,0.06
195512,-0.10
195601,-0.14
195602,-0.59
195603,-0.60
195604,-0.60
195605,-0.57
195606,-0.54
195607,-0.62
195608,-0.72
195609,-0.82
195610,-0.91
195611,-1.07
195612,-1.10
195701,-1.13
195702,-0.51
195703,-0.34
195704,-0.23
195705,-0.29
195706,-0.25
195707,-0.15
195708,-0.09
195709,-0.07
195710,-0.01
195711,0.22
195712,0.22
195801,0.21
195802,0.12
195803,-0.09
195804,-0.24
195805,-0.07
195806,-0.15
195807,-0.22
195808,-0.21
195809,-0.17
195810,-0.15
195811,-0.12
195812,-0.05
195901,0.01
195902,-0.05
195903,0.25
195904,0.42
195905,0.36
195906,0.43
195907,0.56
195908,0.59
195909,0.49
195910,0.40
195911,0.32
195912,0.32
196001,0.25
196002,0.19
196003,0.06
196004,0.01
196005,0.04
196006,0.10
196007,-0.01
196008,-0.06
196009,-0.04
196010,0.02
196011,0.13
196012,0.24
196101,0.26
196102,0.48
196103,0.62
196104,0.75
196105,0.69
196106,0.70
196107,0.68
196108,0.68
196109,0.79
196110,0.89
196111,0.85
196112,0.68
196201,0.78
196202,0.60
196203,0.29
196204,0.22
196205,0.19
196206,0.04
196207,0.00
196208,0.02
196209,-0.05
196210,-0.11
196211,-0.11
196212,-0.21
196301,-0.59
196302,-0.79
196303,-0.79
196304,-0.84
196305,-0.75
196306,-0.67
196307,-0.56
196308,-0.53
196309,-0.46
196310,-0.49
196311,-0.41
196312,-0.42
196401,-0.24
196402,-0.10
196403,-0.05
196404,-0.04
196405,-0.07
196406,0.01
196407,-0.02
196408,-0.12
196409,-0.18
196410,-0.19
196411,-0.30
196412,-0.14
196501,-0.01
196502,-0.09
196503,-0.02
196504,-0.10
196505,-0.21
196506,-0.28
196507,-0.37
196508,-0.39
196509,-0.38
196510,-0.42
196511,-0.58
196512,-0.57
